row_id,Design,Previous_description,Description,Fanout,Cap,Slew,Delay,X_drive,Y_drive,X_sink,Y_sink,C_drive,C_sink,X_context,Y_context,σ(X)_context,σ(Y)_context,Drive_cell_size,Sink_cell_size,Delta
0,s15850,_0511_/X (sky130_fd_sc_hd__a2bb2o_2),_0875_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.04,0.0,205620.0,225760.0,201940.0,223040.0,0.315867,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
1,s15850,_0511_/B1 (sky130_fd_sc_hd__a2bb2o_2),_0511_/X (sky130_fd_sc_hd__a2bb2o_2),0.0,0.0,0.04,1.82,205620.0,225760.0,205620.0,225760.0,0.001771,0.315867,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.6600000000000001
2,s15850,_0588_/X (sky130_fd_sc_hd__a22o_2),_0868_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.04,0.0,220800.0,247520.0,224940.0,250240.0,0.317698,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
3,s15850,_0588_/B1 (sky130_fd_sc_hd__a22o_2),_0588_/X (sky130_fd_sc_hd__a22o_2),0.0,0.0,0.04,1.54,220800.0,247520.0,220800.0,247520.0,0.002411,0.317698,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.93
4,s15850,_0509_/X (sky130_fd_sc_hd__a22o_2),_0863_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.04,0.0,235520.0,217600.0,237820.0,214880.0,0.317698,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
5,s15850,_0509_/B1 (sky130_fd_sc_hd__a22o_2),_0509_/X (sky130_fd_sc_hd__a22o_2),0.0,0.0,0.04,1.55,235520.0,217600.0,235520.0,217600.0,0.002411,0.317698,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.9700000000000001
6,s15850,_0593_/X (sky130_fd_sc_hd__a22o_2),_0862_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.04,0.0,224940.0,217600.0,220340.0,214880.0,0.317698,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
7,s15850,_0593_/B1 (sky130_fd_sc_hd__a22o_2),_0593_/X (sky130_fd_sc_hd__a22o_2),0.0,0.0,0.04,1.56,224940.0,217600.0,224940.0,217600.0,0.002411,0.317698,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.01
8,s15850,_0500_/Y (sky130_fd_sc_hd__xnor2_2),_0836_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.12,0.0,105340.0,138720.0,118220.0,160480.0,0.126353,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
9,s15850,_0500_/A (sky130_fd_sc_hd__xnor2_2),_0500_/Y (sky130_fd_sc_hd__xnor2_2),0.0,0.0,0.12,0.94,105340.0,138720.0,105340.0,138720.0,0.008923,0.126353,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.24
10,s15850,_0491_/X (sky130_fd_sc_hd__xor2_2),_0500_/A (sky130_fd_sc_hd__xnor2_2),1.0,0.01,0.17,0.0,104420.0,136000.0,105340.0,138720.0,0.134592,0.008923,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0
11,s15850,_0491_/A (sky130_fd_sc_hd__xor2_2),_0491_/X (sky130_fd_sc_hd__xor2_2),0.0,0.0,0.17,1.2,104420.0,136000.0,104420.0,136000.0,0.009226,0.134592,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.4099999999999999
